Acastella,tyro
Alcaldops,camfroutensis
Alcaldops,renaudae
Alcaldops,troaonensis
Armorigreenops,leoi
Asteropyge,perforata
Asteropyge,punctata
Bellacartwrightia,calderonae
Bellacartwrightia,jennyae
Bellacartwrightia,phyllocaudata
Bellacartwrightia,pleione
Bellacartwrightia,whiteleyi
Bradocryphaeus,afghanica
Bradocryphaeus,hispanica
Bradocryphaeus,maillieuxi
Bradocryphaeus,nodosa
Bradocryphaeus,porsguenensis
Bradocryphaeus,vanherlei
Braunops,obsoletus
Braunops,prostellans
Breizhops,bigranulosus
Breizhops,chaconae
Breizhops,lanceolatus
Coltraneia,celtica
Coltraneia,oufatenensis
Coltraneia,saourensis
Comura,tuberculata
Deloops,haasi
Destombesina,ougartensis
Destombesina,tafilaltensis
Gandlops,ogivalis
Greenops,barberi
Greenops,boothi
Greenops,chilmanae
Greenops,grabaui
Greenops,widderensis
Hallandclarkeops,cantarmoricus
Heliopyge,helios
Heliopyge,turolensis
Hollardops,boudibensis
Hollardops,burtandmimiae
Hollardops,mesocristata
Hollardops,struvei
Jaylopygiella,medusa
Kayserops,inflatus
Kayserops,kerfornei
Kayserops,traversensis
Kennacryphaeus,harrisae
Metacanthina,barrandei
Mimocryphaeus,altecostatus
Minicryphaeus,giganteus
Minicryphaeus,minimus
Minicryphaeus,quaterspinosus
Modellops,struvei
Morzadecops,zguidensis
Mrakibina,cattoi
Neocalmonia,brinkmanni
Neocalmonia,lutensis
Neocalmonia,quadricosta
Neocalmonia,yazdii
Paracryphaeus,hercyninae
Paracryphaeus,jonesi
Pennarbedops,babini
Pilletina,praecursor
Pelitlina,semeenki
Philipsmithiana,burtandmimiae
Philipsmithiana,hyfinkeli
Pilletina,awquisulcata
Pseudocryphaeus,michelini
Pseudocryphaeus,munieri
Psychopyge,elegans
Psychopyge,termierorum
Quadrops,flexuosa
Radiopyge,heratensis
Radiopyge,sardarensis
Rheingoldium,marocanensis
Rhenops,anserinus
Rhenops,babini
Saharops,bensaidi
Stummiana,arkonensis
Stummiana,osismorum
Tolkienia,cancer
Tolkienia,granulispina
Treveropyge,prorotundifrons
Walliserops,trifurcatus
Protacanthina,vellilae
Pilletina,goltzi
